"Abbrev","Full Title","Trnsl. Title","Publ.","ISSN","New","High Density","Book Ser"
"4OR","4OR. A Quarterly Journal of Operations Research","","Springer, Berlin.","1619-4500","N","N","N"
"29$\sp {\rm o}$ Coloq. Bras. Mat.","29$\sp {\rm o}$ Coloquio Brasileiro de Matematica","29th Brazilian Mathematics Colloquium","Inst. Nac. Mat. Pura Apl. (IMPA), Rio de Janeiro.","","N","N","Y"
"30$\sp {\rm o}$ Coloq. Bras. Mat.","30$\sp {\rm o}$ Coloquio Brasileiro de Matematica","30th Brazilian Mathematics Colloquium","Inst. Nac. Mat. Pura Apl. (IMPA), Rio de Janeiro.","","Y","N","Y"
"Abel Symp.","Abel Symposia","","Springer, Heidelberg.","2193-2808","N","N","Y"
"Abh. Akad. Wiss. Gottingen Neue Folge","Abhandlungen der Akademie der Wissenschaften zu Gottingen. Neue Folge","Papers of the Academy of Sciences in Gottingen. New Series","De Gruyter/Akademie Forschung, Berlin.","0930-4304","N","N","Y"
"Abh. Braunschw. Wiss. Ges.","Abhandlungen der Braunschweigischen Wissenschaftlichen Gesellschaft","","J. Cramer Verlag, Braunschweig.","0068-0737","N","N","N"
"Abh. Math. Semin. Univ. Hambg.","Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg","","Springer, Berlin.","0025-5858","N","Y","N"
"Abstr. Appl. Anal.","Abstract and Applied Analysis","","Hindawi Publ. Corp., New York.","1085-3375","N","N","N"
"ACM Commun. Comput. Algebra","ACM Communications in Computer Algebra","","ACM, New York.","1932-2232","N","N","N"
"ACM J. Exp. Algorithmics","ACM Journal of Experimental Algorithmics","","ACM, New York.","1084-6654","N","Y","N"
"ACM SIGACT News","ACM SIGACT News","","ACM, New York.","0163-5700","N","N","N"
"ACM Trans. Algorithms","ACM Transactions on Algorithms","","ACM, New York.","1549-6325","N","Y","N"
"ACM Trans. Comput. Log.","ACM Transactions on Computational Logic","","ACM, New York.","1529-3785","N","Y","N"
"ACM Trans. Comput. Theory","ACM Transactions of Computation Theory","","ACM, New York.","1942-3454","N","N","N"
"ACM Trans. Database Syst.","ACM Transactions on Database Systems","","ACM, New York.","0362-5915","N","N","N"
"ACM Trans. Econ. Comput.","ACM Transactions on Economics and Computation","","ACM, New York.","2167-8375","Y","N","N"
"ACM Trans. Math. Software","Association for Computing Machinery. Transactions on Mathematical Software","","ACM, New York.","0098-3500","N","N","N"
"ACM Trans. Model. Comput. Simul.","ACM Transactions on Modeling and Computer Simulation","","ACM, New York.","1049-3301","N","N","N"
